id,run_id,address,groups,coin,side,szi,abs_szi,mark_px,position_value,entry_px,unrealized_pnl,roe,leverage,liquidation_px,margin_mode,leverage_style,leverage_note,margin_used,liq_distance_pct,account_leverage,leverage_weight,leverage_risk_score
110479,11,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,ETH,short,-1007.325,1007.325,1572.85,1584018.5625,2022.19,452989.3929,2.2237978585,10.0,2143.5458743225,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离36.3%正常；cross 共享保证金,158401.85625,36.28418948548813,6.755532915691668,0.42,32.0
110482,11,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,HYPE,short,-1992.4,1992.4,62.1325,123702.1388,25.1262,-73640.50066,-7.3549831164,5.0,342.5495964661,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离451.3%较安全；cross 共享保证金,24740.42776,451.32112254633245,6.755532915691668,1.08,72.0
110480,11,0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,money_printer,SOL,short,-3750.0,3750.0,70.8245,265481.25,189.9103,446682.7312,6.272189313,10.0,223.4410776739,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离215.5%较安全；cross 共享保证金,26548.125,215.48557021073216,6.755532915691668,0.4536,42.0
112007,11,0x001ac3f0972b620cd6be82ba54d111614d7d48fb,smart_money,HYPE,long,2640.0,2640.0,62.1325,163672.08,62.9802,-2595.70691,-0.1561160438,10.0,60.0508070917,cross,爆仓边缘型,杠杆10.0x，偏短线；强平距离仅3.4%；cross 共享保证金,16367.208,3.3504090585442388,12.527852423376515,0.08,0.0
112047,11,0x003a85c562730b196f7cba202a2515f2ff855736,smart_money,BTC,short,-3.53666,3.53666,60191.5,212783.1489,64603.8,15698.79791,2.7483655718,40.0,65803.7716294086,cross,爆仓边缘型,杠杆40.0x，强降权；强平距离仅9.3%；cross 共享保证金,5319.578722,9.32402686327571,10.408666235971975,0.08,0.0
112087,11,0x004593cdface692ccbc2733b775f624ed0ad703b,smart_money,BTC,short,-10.86583,10.86583,60191.5,653764.39361,80672.0,222804.89858,0.7625349207,3.0,106628.3233219172,isolated,低杠杆长期型,杠杆3.0x，偏长期；强平距离77.1%较安全；isolated 风险隔离,519323.406221,77.14847332583038,1.2588766081544298,1.2744,89.0
112095,11,0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,ALGO,long,2013675.0,2013675.0,0.088718,178653.246,0.124694,-72441.5115,-1.4425134205,5.0,,cross,中杠杆趋势型,杠杆5.0x，趋势参考；强平距离未知；cross 共享保证金,35730.6492,,0.034661043796681355,1.0,58.0
116284,11,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,ADA,short,-2000000.0,2000000.0,0.144955,290460.0,0.208521,126583.79628,3.0352638598,10.0,2.9490467564,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离1934.5%较安全；cross 共享保证金,29046.0,1934.4567323652168,7.787499867429197,0.4536,42.0
116285,11,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,HYPE,short,-110000.0,110000.0,62.1325,6833310.0,63.0723,104645.43084,0.150830359,10.0,113.0994864798,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离82.0%较安全；cross 共享保证金,683331.0,82.02951189763812,7.787499867429197,0.4536,42.0
116283,11,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,SUI,short,-500000.0,500000.0,0.68317,341840.0,1.02463,170478.18171,3.3275840639,10.0,11.8989470256,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离1641.7%较安全；cross 共享保证金,34184.0,1641.725635727564,7.787499867429197,0.4536,42.0
116286,11,0x007d76eec0ba411ce873a8819df50dd443d967a0,money_printer,TRUMP,short,-237685.7,237685.7,1.65745,394748.41056,3.47186,430463.916474,5.2164019171,10.0,25.2534415126,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离1423.6%较安全；cross 共享保证金,39474.841056,1423.6321766931128,7.787499867429197,0.4536,42.0
116311,11,0x00b43bdee2d3fa676ab06739bf1d52f4bad6591e,money_printer,HYPE,long,34000.0,34000.0,62.1325,2111774.0,37.8762,823980.53891,6.3983904547,10.0,,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离未知；cross 共享保证金,211177.4,,9.942373261193193,0.42,28.0
116325,11,0x00f8da96829820da934fc4a4cb7d39031ce7454b,money_printer,ETH,long,253.4395,253.4395,1572.85,398761.7093,1578.31,-1246.05631,-0.062301606,20.0,139.899161294,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离91.1%较安全；cross 共享保证金,19938.085465,91.10537169507582,9.293486950626738,0.27,29.0
116326,11,0x00f8da96829820da934fc4a4cb7d39031ce7454b,money_printer,HYPE,long,36535.87,36535.87,62.1325,2269096.74222,61.384,26377.252633,0.1176128034,10.0,51.8481753329,cross,高杠杆短线型,杠杆10.0x，偏短线；强平距离16.6%偏近；cross 共享保证金,226909.674222,16.552246677825615,9.293486950626738,0.231,16.0
116489,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,0G,short,-25571.0,25571.0,0.231255,5946.53605,0.23368,28.91374,0.0967751082,20.0,116.2976630826,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离50189.8%较安全；cross 共享保证金,297.326802,50189.79398611922,1.1518869517540709,0.27,29.0
116492,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,2Z,long,119448.0,119448.0,0.065363,7797.087648,0.064816,54.902937,0.1418280215,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,389.854382,,1.1518869517540709,0.25,15.0
116359,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,AAVE,long,387.57,387.57,94.289,36619.55145,94.1169,142.643178,0.0782101251,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,1830.977572,,1.1518869517540709,0.25,15.0
116400,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ACE,long,124972.84,124972.84,0.0733,9173.006456,0.0746,-153.550156,-0.3292751278,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,458.650322,,1.1518869517540709,0.25,15.0
116377,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ADA,long,164747.0,164747.0,0.144955,23924.55934,0.1466,-227.405055,-0.1883118502,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,1196.227967,,1.1518869517540709,0.25,15.0
116499,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,AERO,long,60397.0,60397.0,0.462845,28013.94051,0.471332,-453.145031,-0.3183641897,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,1400.697025,,1.1518869517540709,0.25,15.0
116454,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,AIXBT,short,-1022379.0,1022379.0,0.01869,19100.084478,0.018286,-404.429799,-0.4326457735,20.0,2.9216181975,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离15532.0%较安全；cross 共享保证金,955.004223,15531.986075441415,1.1518869517540709,0.27,29.0
116446,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ALGO,short,-582752.0,582752.0,0.088718,51846.279936,0.085763,-1867.432427,-0.7472891113,20.0,5.1818737414,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离5740.8%较安全；cross 共享保证金,2592.313996,5740.83696814626,1.1518869517540709,0.27,29.0
116410,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ALT,long,2594696.0,2594696.0,0.005702,14831.282336,0.005712,8.287482,0.0111819266,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,741.564116,,1.1518869517540709,0.25,15.0
116462,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ANIME,long,895944.0,895944.0,0.002626,2350.061112,0.002633,-9.767984,-0.0827855205,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,117.503055,,1.1518869517540709,0.25,15.0
116341,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,APE,long,46800.3,46800.3,0.1398,6523.025814,0.13916,9.85868,0.0302730754,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,326.15129,,1.1518869517540709,0.25,15.0
116491,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,APEX,long,81692.0,81692.0,0.27359,22333.77588,0.278021,-378.354197,-0.3331736792,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,1116.688794,,1.1518869517540709,0.25,15.0
116358,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,APT,short,-90573.91,90573.91,0.5805,52659.671274,0.5906,841.796493,0.3146816445,20.0,33.3491253487,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离5644.9%较安全；cross 共享保证金,2632.983563,5644.89670089578,1.1518869517540709,0.27,29.0
116416,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,AR,short,-22461.0,22461.0,1.8459,41384.3925,1.8503,175.790016,0.0845954013,20.0,133.9782467003,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离7158.2%较安全；cross 共享保证金,2069.219625,7158.153025640609,1.1518869517540709,0.27,29.0
116344,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ARB,short,-402681.2,402681.2,0.07371,29709.818936,0.07409,126.22302,0.0846111024,20.0,7.4441290668,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离9999.2%较安全；cross 共享保证金,1485.490946,9999.211866503867,1.1518869517540709,0.27,29.0
116486,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ASTER,long,21704.0,21704.0,0.62053,13472.758,0.625467,-102.38711,-0.1508449584,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,673.6379,,1.1518869517540709,0.25,15.0
116336,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,ATOM,long,6224.97,6224.97,1.5693,9774.447894,1.5785,-51.939701,-0.105714741,20.0,,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离未知；cross 共享保证金,488.722394,,1.1518869517540709,0.25,15.0
116339,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,AVAX,short,-7157.45,7157.45,6.3838,45716.780385,6.4517,461.525919,0.1998886299,20.0,421.046292607,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离6495.5%较安全；cross 共享保证金,2285.839019,6495.543290939566,1.1518869517540709,0.27,29.0
116487,11,0x010461c14e146ac35fe42271bdc1134ee31c703a,money_printer,AVNT,short,-11001.0,11001.0,0.094843,1044.005901,0.094637,-2.897848,-0.0556685349,20.0,269.8795575436,cross,极高杠杆短线型,杠杆20.0x，强降权；强平距离284454.0%较安全；cross 共享保证金,52.200295,284454.0077218139,1.1518869517540709,0.27,29.0
