address,groups,usdc_delta,spot_delta,flow_type,spot_increases,spot_decreases,spot_net_changes,spot_operations,perp_operations,current_perp_positions,current_spot_holdings
0x5405450cae1b86581f017d1c35ad954d8703f802,money_printer,-14962.377640000079,-6965156.834649086,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,MAX $649.71M 数量=101.68M；HYPE $928.68 数量=10.17K
0x2025137a136bea7446deba681cbfc7cf1970840e,money_printer,0.0,-6971662.322888494,现货变化,-,-,-,-,-,PAXG多 10x $207.32K cross 高杠杆短线型；SPX多 5x $50.02K cross 中杠杆趋势型；APT多 10x $22.33K cross 高杠杆短线型,MAX $650.18M 数量=101.75M；UPUMP $4.63M 数量=42.36M；PUP $164.99K 数量=1.64M
0x1a6132837f1857196677f06515041bb817affe9e,smart_money,1288.123424999998,-6958674.239316583,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,XPL多 3x $133.68K isolated 强平距=+35.88% 低杠杆长期型,MAX $649.11M 数量=101.59M；LATINA $21.61K 数量=21.61K；HYPE $456.72 数量=5.00K
0xac7bbfed474127e8683320421264d403fd2155f9,money_printer,0.0,-6959341.403656602,现货变化,-,-,-,-,-,SOL空 20x $304.38K cross 强平距=+151.28% 极高杠杆短线型,MAX $649.17M 数量=101.60M；LICKO $24.54 数量=219.147；HYPE $0.00 数量=0.00681554
0xca4903c207a0df58bf37d4bc8bbc5210726f53c8,money_printer,0.0,-6957166.428612351,现货变化,-,-,-,-,-,SOL空 20x $6.16M cross 强平距=+82.91% 极高杠杆短线型；BTC空 40x $5.78M cross 强平距=+88.78% 极高杠杆短线型；ETH多 25x $2.76M cross 极高杠杆短线型,MAX $648.97M 数量=101.56M
0xaa2a33c424b92cdc042e40c522cb48e586e83026,smart_money,88.49527200008743,-6953011.711868644,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 5x $935.46K cross 强平距=+92.50% 中杠杆趋势型；ETH空 5x $175.97K cross 强平距=+500.58% 中杠杆趋势型,MAX $648.58M 数量=101.50M；HYPE $0.00 数量=9e-08
0xf28e1b06e00e8774c612e31ab3ac35d5a720085f,money_printer,0.0,-6940848.783995748,现货变化,-,-,-,-,-,HYPE空 10x $1.54M cross 强平距=+312.01% 高杠杆短线型；NEAR空 10x $1.20M cross 强平距=+398.22% 高杠杆短线型；LIT空 5x $1.05M cross 强平距=+436.28% 中杠杆趋势型,MAX $647.44M 数量=101.33M；KNTQ $229.66K 数量=6.39K；USDT0 $17.57 数量=137.975
0x645b2eeaa0a46df3c4211bebda1b2c7703e287b8,money_printer,0.0,-6936310.451736808,现货变化,-,-,-,-,-,HYPE空 3x $20.29M cross 强平距=+71.24% 低杠杆长期型；ETH多 20x $1.01M cross 极高杠杆短线型；ASTER空 5x $709.70K cross 强平距=+2001.84% 中杠杆趋势型,MAX $647.02M 数量=101.26M；HYPE $13.43K 数量=147.03K
0x294fd17c700331aad5cc480400050e1005d2c531,smart_money,0.0,-6927431.36608541,现货变化,-,-,-,-,-,-,MAX $646.01M 数量=101.10M；KNTQ $370.41K 数量=10.30K；WOW $327.70K 数量=5.31K
0xd8c5228c515db3043dfa0c8cd6f22450ee9a99b0,money_printer,-10929.29638800025,-6896646.033540964,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,MAX $643.32M 数量=100.68M；HYPE $0.00 数量=0.00852006
0x3286cd2bd1b67afbcbb6988bebd50229120092e1,smart_money,-2106.8243779999902,-6904098.555390239,USDC减少，疑似资金流出/买入,-,-,-,-,-,-,MAX $644.02M 数量=100.79M；LICKO $37.56 数量=335.384；LATINA $0.74 数量=0.7445
0x59319c81c0cf3d02e3b68996c2dfe47308a006dc,smart_money,0.0,-6902574.7839285135,现货变化,-,-,-,-,-,-,MAX $643.87M 数量=100.77M；LICKO $90.35 数量=806.718；NEIRO $17.57 数量=676.038
0x98785f2a43fe32f972476b86ed5a5cfaf5240f00,smart_money,207.35669754000264,-6896391.142636299,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE多 10x $124.27K cross 高杠杆短线型,MAX $643.28M 数量=100.68M；PURR $42.94K 数量=500.13K；HYPE $913.42 数量=10.00K
0xd4c1f7e8d876c4749228d515473d36f919583d1d,money_printer,0.0,-6880840.606375456,现货变化,-,-,-,-,-,BTC多 12x $5.41M cross 强平距=+37.71% 高杠杆短线型；ETH多 12x $2.76M cross 强平距=+74.92% 高杠杆短线型；HYPE空 10x $1.99M cross 强平距=+99.08% 高杠杆短线型,MAX $641.85M 数量=100.45M；LATINA $10.43K 数量=10.43K；LICKO $24.57 数量=219.346
0x352deb23bebae8b4c57d0ae341d9c1951fd8425a,smart_money,1301.0588629999984,-6879153.382870913,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,BTC空 40x $316.83K cross 强平距=+31.66% 极高杠杆短线型；ZEC空 10x $34.61K cross 强平距=+277.56% 高杠杆短线型；TNSR多 3x $2.29K cross 低杠杆长期型,MAX $641.69M 数量=100.43M；LICKO $31.72 数量=283.214；TIME $1.47 数量=603.448
0x656c54089502d4ab36a35166b514ec761c33f4b7,smart_money,0.0,-6878112.003416538,现货变化,-,-,-,-,-,-,MAX $641.59M 数量=100.41M；UBTC $0.00 数量=0.00673325；HYPE $0.00 数量=2e-08
0x89abe626dc7f010138bc08e0100f1e4e13c30d32,money_printer,0.0,-6876792.799567103,现货变化,-,-,-,-,-,-,MAX $641.47M 数量=100.39M；HYPE $0.00 数量=0.00443076
0x8fbb1aad00013c4e32bb033337b7cb792ab2fc4e,smart_money,189.23191599996062,-6873449.127205491,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 10x $496.85K cross 强平距=+52.65% 高杠杆短线型；ETH多 10x $393.00K cross 强平距=+70.15% 高杠杆短线型,MAX $641.16M 数量=100.34M
0xfe7ce058edc7cfcde9ef8262ba51f8d4796ab7ae,money_printer,0.0,-6855618.087574482,现货变化,-,-,-,-,-,NEAR空 10x $5.91M cross 强平距=+47.67% 高杠杆短线型；ZRO空 5x $64.58K cross 强平距=+4186.94% 中杠杆趋势型；AZTEC空 3x $31.78K cross 强平距=+8012.90% 低杠杆长期型,MAX $639.49M 数量=100.08M
0x656c8da58d738295e03550796dd83900aa7c6525,money_printer,0.0,-6855121.67696619,现货变化,-,-,-,-,-,-,MAX $639.42M 数量=100.07M；KNTQ $5.03M 数量=139.96K；WOW $46.14K 数量=747.104
0x0266a2451f715276eab4d1a0d6abece0b475af5f,smart_money,0.0,-6853718.579793334,现货变化,-,-,-,-,-,-,MAX $639.32M 数量=100.05M；LICKO $26.00 数量=232.143；LATINA $2.59 数量=2.5853
0xccf135ab352d561a15eb7be2a243cc4fcb7f0ab1,money_printer,-185.27627857000334,-6850293.277360797,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE空 10x $748.83K cross 强平距=+97.06% 高杠杆短线型,MAX $639.00M 数量=100.00M；HYPE $1.10K 数量=12.00K；USDH $0.01 数量=0.19558
0xe0cc85525563dadd56fdcd96581f7b587a2b2411,money_printer,0.0,-6724976.366730452,现货变化,-,-,-,-,-,-,NEKO $1.22B 数量=20.38K
0xf3f496c9486be5924a93d67e98298733bb47057c,money_printer,0.0,-6710876.499999881,现货变化,-,-,-,-,-,-,MAX $625.99M 数量=97.97M；LAUNCH $0.16 数量=101；CATBAL $0.08 数量=0.1
0xfcb01354e18ca1cc0eee89ca3459ef84daa2e0b6,smart_money,0.0,-6463878.0225253105,现货变化,-,-,-,-,-,-,NEKO $1.17B 数量=19.59K；KNTQ $202.82K 数量=5.64K；WOW $117.17K 数量=1.90K
0xb5101614ad71468a041a83e64d8b834aa17a1ed6,smart_money,722.2315030000027,-6216846.50773263,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE多 10x $436.22K cross 强平距=+19.92% 高杠杆短线型,MAX $579.91M 数量=90.76M；HYPE $819.62 数量=8.97K；VAULT $0.54 数量=13.8328
0x577a00a0ee907ee481791049477a3c1fa1470568,smart_money,305354.01549295,-5764455.982277751,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE多 10x $622.28K cross 高杠杆短线型,MAX $537.67M 数量=84.15M；HYPE $283.60 数量=3.10K；LICKO $141.79 数量=1.27K
0x000461a73d3985eef4923655782aa5d0de75c111,smart_money,0.0,-5877796.076755524,现货变化,-,-,-,-,-,-,MAX $548.28M 数量=85.81M；HFUN $19.15K 数量=1.95K；JEFF $11.46K 数量=4.43K
0x3e781befd071c59d820725f70ce109298f750706,smart_money,11.124586909994832,5633101.666244637,USDC增加，疑似资金回流,BASED $5.63M 数量Δ=7.89K @ 714.15,-,BASED $5.63M 数量Δ=7.89K @ 714.15,现货买入BASED $5.63M 数量Δ=7.89K @ 714.15,-,MEGA多 2x $17.25K isolated 强平距=+29.64% 低杠杆长期型；ETH多 25x $15.69K cross 极高杠杆短线型；PYTH多 5x $12.13K cross 中杠杆趋势型,BASED $30.62M 数量=42.87K；PURR $9.99K 数量=116.39K；HPL $1.37K 数量=210.83K
0x373753d4a354b34a23d04882a6ee64042f47a189,smart_money,-1635.4125349999958,-5610944.533828974,USDC减少，疑似资金流出/买入,-,-,-,-,-,BTC多 20x $120.15K cross 强平距=+34.21% 极高杠杆短线型；ETH多 20x $118.00K cross 强平距=+34.97% 极高杠杆短线型；LINK多 10x $72.89K cross 强平距=+58.80% 高杠杆短线型,MAX $523.39M 数量=81.91M；LICKO $19.13 数量=170.813；HYPE $0.00 数量=2e-08
0x64dd467d1e5c2cf2be87fea20713159dbc12ca76,smart_money,760.1929600000149,-5572768.868510723,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,HYPE空 10x $198.81K cross 强平距=+60.38% 高杠杆短线型,MAX $519.83M 数量=81.35M；WOW $7.86K 数量=127.363；LICKO $24.54 数量=219.135
0xa559edb06548fb5d9b2066ec43320e5f9726ff95,smart_money,-1909.0239000000292,-5483240.159264326,USDC减少，疑似资金流出/买入,-,-,-,-,-,ETH多 20x $472.68K cross 极高杠杆短线型；XPL多 10x $317.89K cross 高杠杆短线型,MAX $511.48M 数量=80.05M；HYPE $731.17 数量=8.00K
0x3a94ec43996178f7013988358f58baf18a4cc707,smart_money,1223.310065999991,-5015485.7265405655,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,LIT多 5x $173.95K cross 强平距=+47.92% 中杠杆趋势型；PURR多 3x $59.02K cross 低杠杆长期型,NEKO $909.56M 数量=15.19K；BRIDGE $29.58M 数量=7.32K；PERP $3.70M 数量=3.70M
0x4fe2e743da6e8d1aa0c9ed5489d8c2c9b5f96c87,smart_money,0.10695269999996526,-4961266.34044075,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,-,MAX $354.91M 数量=55.54M；NEKO $209.78M 数量=3.50K；WOW $12.60K 数量=204.013
0x0ec6b3ae9a6cb7074542dffe9c8af7cdbcc4a016,smart_money,0.0,-4950003.915165663,现货变化,-,-,-,-,-,-,NEKO $897.91M 数量=15.00K；WOW $671.58 数量=10.8755；MEOW $0.29 数量=22.0951
0x91f564e80ed5e98eb22fde0857e1a87047f2df13,smart_money,0.0,-4810285.668915868,现货变化,-,-,-,-,-,-,MAX $448.67M 数量=70.22M；WOW $62.41K 数量=1.01K；LATINA $26.09K 数量=26.09K
0x77640177b7623792e1939c4a2614698e69ec304a,smart_money,0.0,-4639656.409351885,现货变化,-,-,-,-,-,-,BUDDY $383.28M 数量=5.45M；MAX $6.68M 数量=1.05M；PURR $56.10K 数量=653.39K
0x3dda84d7ca629758ada7523a694702061538f906,smart_money,0.0,-4474822.631759107,现货变化,-,-,-,-,-,-,MAX $417.41M 数量=65.33M；USDE $0.00 数量=8.44411；HYPE $0.00 数量=0.00764947
0xaf313f5d2d87a40b7b4675f74f29618b5a46928e,smart_money,1129.2075520000071,-4432436.539571583,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,LIT多 1x $115.42K cross 强平距=+99.52% 低杠杆长期型,MAX $413.46M 数量=64.71M；HYPE $931.10 数量=10.19K；UZEC $11.50 数量=555.066
0xf818074d013f376b860c02f0ad2bf98b12139489,smart_money,609.4935200000182,-4382974.086708844,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,ETH空 5x $353.72K cross 强平距=+74.03% 中杠杆趋势型；HYPE多 5x $342.65K cross 强平距=+81.12% 中杠杆趋势型,MAX $300.97M 数量=47.10M；NEKO $209.78M 数量=3.50K；LATINA $16.27K 数量=16.27K
0x2a29762f188eacd2217313a62642b1fb24d14d9c,smart_money,-9789.568493000232,-4193286.9430503845,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE多 2x $0.62 isolated 强平距=+67.12% 低杠杆长期型,NEKO $760.50M 数量=12.70K；MAX $63.90K 数量=10.00K；BASED $56.05K 数量=78.4841
0xac487c027ffe32021bbba77e30786f8c8f353201,money_printer,66035.78950699978,-4084339.230865717,USDC增加 + 现货减少，疑似卖出/转现金,-,-,-,-,-,ETH空 20x $6.14M cross 强平距=+51.12% 极高杠杆短线型；BTC空 20x $4.22M cross 强平距=+74.41% 极高杠杆短线型；SOL多 20x $447.86K cross 极高杠杆短线型,MAX $380.77M 数量=59.59M；PURR $219.69K 数量=2.56M；CFX0 $91.11K 数量=25.00K
0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,-459.4400870008394,-4137974.34070915,USDC减少，疑似资金流出/买入,-,-,-,-,-,ALGO多 5x $171.58K cross 中杠杆趋势型,MAX $385.99M 数量=60.41M；HYPE $551.78 数量=6.04K
0x68f80ecef342044f84891641e81b50b5f580b6ad,smart_money,-25.702168999996502,-4110010.3731467724,USDC减少，疑似资金流出/买入,-,-,-,-,-,HYPE多 1x $351.51K isolated 强平距=+99.98% 低杠杆长期型,MAX $383.38M 数量=60.00M；LATINA $14.27K 数量=14.27K；HYPE $548.05 数量=6.00K
