id,run_id,address,groups,coin,token,total,hold,free,entry_ntl,mark_px,current_value,price_trusted,anomaly_reason,day_volume_usd,trusted_value_cap,is_canonical
11802782,995,0x001ac3f0972b620cd6be82ba54d111614d7d48fb,smart_money,HYPE,150,0.00386003,0.0,0.00386003,0.22278896,0.11898,0.0004592663694,1,,0.0,250000000.0,0
11802781,995,0x001ac3f0972b620cd6be82ba54d111614d7d48fb,smart_money,MEOW,61,0.412351,0.0,0.412351,2.375e-05,0.012021,0.0049568713710000005,1,,0.0,250000000.0,0
11802783,995,0x001ac3f0972b620cd6be82ba54d111614d7d48fb,smart_money,UBTC,197,3.71601e-05,0.0,3.71601e-05,2.37051254,3.8e-05,1.4120838e-09,1,,0.0,250000000.0,0
11802784,995,0x001ac3f0972b620cd6be82ba54d111614d7d48fb,smart_money,UPUMP,299,1.920341,0.0,1.920341,0.0143246,0.10727,0.20599497907000003,1,,69.1929494,5000000.0,0
11802780,995,0x001ac3f0972b620cd6be82ba54d111614d7d48fb,smart_money,USDC,0,34.55195825,0.0,34.55195825,0.0,1.0,34.55195825,1,,0.0,250000000.0,0
11802797,995,0x003a85c562730b196f7cba202a2515f2ff855736,smart_money,HYPE,150,0.00550677,0.0,0.00550677,0.256632,0.11898,0.0006551954946000001,1,,0.0,250000000.0,0
11802798,995,0x003a85c562730b196f7cba202a2515f2ff855736,smart_money,LATINA,223,13049.5369,0.0,13049.5369,0.0,1.0,13049.5369,1,,0.0,250000000.0,0
11802799,995,0x003a85c562730b196f7cba202a2515f2ff855736,smart_money,LICKO,307,25.43980271,0.0,25.43980271,0.00015263,0.308,7.835459234679999,1,,0.0,250000000.0,0
11802796,995,0x003a85c562730b196f7cba202a2515f2ff855736,smart_money,USDC,0,13340.9486569,13340.9486569,0.0,0.0,1.0,13340.9486569,1,,0.0,250000000.0,0
11802808,995,0x004593cdface692ccbc2733b775f624ed0ad703b,smart_money,USDC,0,480998.32323744,480998.070211,0.2530264400411397,0.0,1.0,480998.32323744,1,,0.0,250000000.0,0
11802824,995,0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,HYPE,150,6040.83845359,0.0,6040.83845359,249613.12072,0.11898,718.7389592081382,1,,0.0,250000000.0,0
11802825,995,0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,MAX,734,60408384.5359,0.0,60408384.5359,0.0,6.7345,406820265.6570185,0,position_value_over_dynamic_limit,15247.4303219,5000000.0,0
11802823,995,0x0048d42f232164a85a41f15ccf26cf859e58b108,smart_money,USDC,0,4794724.85133818,4794724.85133818,0.0,0.0,1.0,4794724.85133818,1,,0.0,250000000.0,0
11802831,995,0x0050f3427e5388e9cc458e977bc3444faf015618,smart_money,GPT,35,404903.4391106,0.0,404903.4391106,0.40490343,2.5e-05,10.122585977765,1,,380.38028124,5000000.0,0
